逻辑号	车厢号	故障类型	故障代码	故障等级	故障名称	故障报告	V>0	V=0	故障已读后发送位
1410	3	制动	1775	0	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	5811
1411	4	制动	1775	0	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	5812
1412	5	制动	1775	0	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	5813
1413	6	制动	1775	0	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	5814
1414	7	制动	1775	0	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	5815
1415	8	制动	1775	0	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	5816
1416	1	牵引	21AC	0	GTO控制模块A1:监控起作用	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上中断牵引变流器\n-大约30s后闭合真空断路器\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合\n-在“开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心。\n$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	5817
1417	3	牵引	21AD	0	GTO控制模块A1:监控起作用	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上中断牵引变流器\n-大约30s后闭合真空断路器\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合\n-在“开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心。\n$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	5818
1418	6	牵引	21AE	0	GTO控制模块A1:监控起作用	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上中断牵引变流器\n-大约30s后闭合真空断路器\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合\n-在“开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心。\n$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	5819
1419	8	牵引	2210	0	GTO控制模块A1:监控起作用	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上中断牵引变流器\n-大约30s后闭合真空断路器\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合\n-在“开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心。\n$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	5820
1420	1	制动	8888	0	紧急制动不缓解--ETCS回路故障造成	紧急制动不缓解--ETCS回路故障造成	紧急制动不缓解--ETCS回路故障造成	紧急制动不缓解--ETCS回路故障造成	5821
1421	2	制动	8888	0	紧急制动不缓解--转向架监测故障造成	紧急制动不缓解--转向架监测故障造成	紧急制动不缓解--转向架监测故障造成	紧急制动不缓解--转向架监测故障造成	5822
1422	4	制动	8888	0	紧急制动不缓解--停放制动不缓解回路造成	紧急制动不缓解--停放制动不缓解回路造成	紧急制动不缓解--停放制动不缓解回路造成	紧急制动不缓解--停放制动不缓解回路造成	5823
1423	4	制动	66DB	0	紧急制动不缓解--紧急制动回路故障造成	紧急制动不缓解--紧急制动回路故障造成	紧急制动不缓解--紧急制动回路故障造成	紧急制动不缓解--紧急制动回路故障造成	5824
1424	5	制动	8888	0	紧急制动不缓解--操纵端紧急制动阀故障造成	紧急制动不缓解--操纵端紧急制动阀故障造成	紧急制动不缓解--操纵端紧急制动阀故障造成	紧急制动不缓解--操纵端紧急制动阀故障造成	5825
1425	8	制动	8888	0	紧急制动不缓解--非操纵端紧急制动阀故障造成	紧急制动不缓解--非操纵端紧急制动阀故障造成	紧急制动不缓解--非操纵端紧急制动阀故障造成	紧急制动不缓解--非操纵端紧急制动阀故障造成	5826
1426	1	制动	1610	0	无论通讯面板是否故障BCU-B01都是TBM/SBM	直接制动和电制动控制失效	施加紧急制动使列车停止。\n-通知调度中心。	通知机械师\n-在占用端司机室左侧MCB面板上，断开MCB28-F12，28-F11，再次闭合28-F11，28-F12。\n如果故障消除：\n重新进行制动试验。\n-按照制动有效率行车，如果不成功：\n-打开<C14>阀，激活备用制动。\n参照备用制动行车规范。\n通知调度中心。	5827
1427	1	HMI	6CC1	0	与左TD-HMI通信故障	"===========================\n前进方向的TU\n==========================\n-设置司机室内右边的故障开关控制台上的""TD-HMI""故障开关为“左关”，在大约2分钟后再次接通。\n如果不成功：\n-无需进一步可能的措施。\n\n注意：\nTD-HMI2（右）代替TD-HMI1（左）的功能。\n被引导TU\n===========================\n-不需要立即采取措施，前进到负责改变方向的连接站。\n帮助文本不能显示。\n如果必要，请求"	===========前进方向的TU===========\n不需要立即采取措施，根据时间表运行到下一站。\n注意：\nTD-HMI2（右）代替TD-HMI1（左）的功能。\n============被引导TU============\n-不需要立即采取措施，前进到负责改变方向的连接站。\n\n注意：\nTD-HMI2（右）代替TD-HMI1（左）的功能。\n帮助文本不能显示。\n如果必要，请求热线帮助，指示故障码（按下故障总览里的“更改布局”软键）用于信息纠正。\n	"===========================\n前进方向的TU\n==========================\n-设置司机室内右边的故障开关控制台上的""TD-HMI""故障开关为“左关”，在大约2分钟后再次接通。\n如果不成功：\n-无需进一步可能的措施。\n\n注意：\nTD-HMI2（右）代替TD-HMI1（左）的功能。\n被引导TU\n===========================\n-不需要立即采取措施，前进到负责改变方向的连接站。\n帮助文本不能显示。\n如果必要，请求"	5828
1428	2	HMI	6CC2	0	与右TD-HMI通信故障	"===========================\n前进方的TU\n==========================\n-设置司机室内右边的故障开关控制台上的""TD-HMI""故障开关为“右关”，在大约2分钟后再次接通。\n如果不成功：\n-不需要采取进一步的措施。\n\n注意：\nTD-HMI1（左）代替TD-HMI2（右）的功能。\n\n被引导TU\n===========================\n-不需要立即采取措施，前进到负责改变方向的连接站。\n帮助文本不能显示。\n如果必要，"	===========前进方的TU===========\n不需要立即采取措施，根据时间表运行到下一站。\n注意：\nTD-HMI1（左）代替TD-HMI2（右）的功能。\n============被引导TU============\n-不需要立即采取措施，前进到负责改变方向的连接站。\n\n注意：\nTD-HMI1（左）代替TD-HMI2（右）的功能。\n帮助文本不能显示。\n如果必要，请求热线帮助，指示故障码（按下故障总览里的“更改布局”软键）用于信息纠正。\n	"===========================\n前进方的TU\n==========================\n-设置司机室内右边的故障开关控制台上的""TD-HMI""故障开关为“右关”，在大约2分钟后再次接通。\n如果不成功：\n-不需要采取进一步的措施。\n\n注意：\nTD-HMI1（左）代替TD-HMI2（右）的功能。\n\n被引导TU\n===========================\n-不需要立即采取措施，前进到负责改变方向的连接站。\n帮助文本不能显示。\n如果必要，"	5829
1429	1	制动	173F	0	BCU-B01的通讯面板故障	====================\n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax=215km/h持续运行到目的站（由于无法获得横向加速度）\n========================\n变压器车\n============================\	-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n	====================\n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax=215km/h持续运行到目的站（由于无法获得横向加速度）\n========================\n变压器车\n============================\	5830
1430	2	制动	1749	0	BCU-B01内部通讯故障	====================\n头车（前进方向）牵引单元\n====================\n-通知列车乘务员并下令其执行以下操作：\n-在车辆制动面板上关闭列车摩擦制动\n-在TD-HMI的“制动状态”菜单上，按下“制动有效率”软键\n如果制动系统故障应考虑的措施：\n-通知控制中心\n-列车以最大速度为215km/h的速度运行至目的站（由于无法获得横向加速度）\n============================\n变压器车\n=======================	-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n	====================\n头车（前进方向）牵引单元\n====================\n-通知列车乘务员并下令其执行以下操作：\n-在车辆制动面板上关闭列车摩擦制动\n-在TD-HMI的“制动状态”菜单上，按下“制动有效率”软键\n如果制动系统故障应考虑的措施：\n-通知控制中心\n-列车以最大速度为215km/h的速度运行至目的站（由于无法获得横向加速度）\n============================\n变压器车\n=======================	5831
1431	3	制动	176D	0	BCU-B01内通讯面板故障	====================\n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax=215km/h持续运行到目的站（由于无法获得横向加速度）\n========================\n变压器车\n============================\	-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n	====================\n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax=215km/h持续运行到目的站（由于无法获得横向加速度）\n========================\n变压器车\n============================\	5832
1432	4	制动	173F	0	BCU-B01的通讯面板故障	====================\n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax=215km/h持续运行到目的站（由于无法获得横向加速度）\n========================\n变压器车\n============================\	-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n	====================\n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax=215km/h持续运行到目的站（由于无法获得横向加速度）\n========================\n变压器车\n============================\	5833
1433	5	制动	1749	0	BCU-B01内部通讯故障	====================\n头车（前进方向）牵引单元\n====================\n-通知列车乘务员并下令其执行以下操作：\n-在车辆制动面板上关闭列车摩擦制动\n-在TD-HMI的“制动状态”菜单上，按下“制动有效率”软键\n如果制动系统故障应考虑的措施：\n-通知控制中心\n-列车以最大速度为215km/h的速度运行至目的站（由于无法获得横向加速度）\n============================\n变压器车\n=======================	-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n	====================\n头车（前进方向）牵引单元\n====================\n-通知列车乘务员并下令其执行以下操作：\n-在车辆制动面板上关闭列车摩擦制动\n-在TD-HMI的“制动状态”菜单上，按下“制动有效率”软键\n如果制动系统故障应考虑的措施：\n-通知控制中心\n-列车以最大速度为215km/h的速度运行至目的站（由于无法获得横向加速度）\n============================\n变压器车\n=======================	5834
1434	6	制动	176D	0	BCU-B01内通讯面板故障	====================\n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax=215km/h持续运行到目的站（由于无法获得横向加速度）\n========================\n变压器车\n============================\	-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n	====================\n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax=215km/h持续运行到目的站（由于无法获得横向加速度）\n========================\n变压器车\n============================\	5835
1435	7	制动	173F	0	BCU-B01的通讯面板故障	====================\n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax=215km/h持续运行到目的站（由于无法获得横向加速度）\n========================\n变压器车\n============================\	-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n-列车以Vmax=215km/h运行一直到目的站\n-如可能，以低减速度制动\n-通知控制中心\n	====================\n端车（前进方向）牵引单元\n======================\n-通知乘务员，并下令执行下列操作：\n-通过车辆控制面板，关闭摩擦制动\n-按下TD-HMI上菜单“制动状态”中的“制动有效率”软键\n-如果制动系统失效时应考虑的措施\n-通知控制中心\n-列车以Vmax=215km/h持续运行到目的站（由于无法获得横向加速度）\n========================\n变压器车\n============================\	5836
1436	8	制动	1749	0	BCU-B01内部通讯故障	====================\n头车（前进方向）牵引单元\n====================\n-通知列车乘务员并下令其执行以下操作：\n-在车辆制动面板上关闭列车摩擦制动\n-在TD-HMI的“制动状态”菜单上，按下“制动有效率”软键\n如果制动系统故障应考虑的措施：\n-通知控制中心\n-列车以最大速度为215km/h的速度运行至目的站（由于无法获得横向加速度）\n============================\n变压器车\n=======================	-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n\n-以最大时速为215km的速度运行至目的站（由于无法获得横向加速度）\n-通知控制中心\n	====================\n头车（前进方向）牵引单元\n====================\n-通知列车乘务员并下令其执行以下操作：\n-在车辆制动面板上关闭列车摩擦制动\n-在TD-HMI的“制动状态”菜单上，按下“制动有效率”软键\n如果制动系统故障应考虑的措施：\n-通知控制中心\n-列车以最大速度为215km/h的速度运行至目的站（由于无法获得横向加速度）\n============================\n变压器车\n=======================	5837
1437	2	牵引	8888	0	2车牵引变压器故障--造成主断路器不能闭合	2车牵引变压器故障--造成主断路器不能闭合	2车牵引变压器故障--造成主断路器不能闭合	2车牵引变压器故障--造成主断路器不能闭合	5838
1438	7	牵引	8888	0	7车牵引变压器故障--造成主断路器不能闭合	7车牵引变压器故障--造成主断路器不能闭合	7车牵引变压器故障--造成主断路器不能闭合	7车牵引变压器故障--造成主断路器不能闭合	5839
