1200	9400	2011	CCU has started up 	7	2	Computer Communication	<Detected fault>¡áIndication only that the CCU has started up¡á¡á¡á<Consequences>¡áIndication only.	<Causes>¡áIndication only that the CCU has started up¡á¡á¡á<Check/inspect>¡áIndication only
1212	9412	2011	I/O unit DX87 status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1213	9413	2011	I/O unit DX88 status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1214	9414	2011	I/O unit DX89 status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1215	9415	2011	I/O unit DX8A status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1216	9416	2011	I/O unit DX8B status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1217	9417	2011	I/O unit DX8C status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1218	9418	2011	I/O unit DX8D status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1219	9419	2012	I/O unit DX36 status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1220	9420	2012	I/O unit DX37 status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1221	9421	2012	I/O unit DX38 status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1222	9422	2013	I/O unit DX3A status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1223	9423	2013	I/O unit DX3B status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1224	9424	2013	I/O unit DX3C status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1225	9425	2014	I/O unit DX56 status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1226	9426	2014	I/O unit DX57 status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
1227	9427	2014	I/O unit DX58 status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	"<Causes>
1. Faulty power supply to DX I/O unit.
¡á. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty."
1228	9428	2015	I/O unit AX24 status fault	5	1	Computer Communication	<Detected fault>¡áAX-unit self test detected faulty AX.¡á¡á¡á<Consequences>¡áAX unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to AX unit.¡á2. Faulty AX unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to AX unit.¡á2. If no faults are found the AX unit is faulty.
1229	9429	2015	I/O unit AX25 status fault	5	1	Computer Communication	<Detected fault>¡áAX-unit self test detected faulty AX.¡á¡á¡á<Consequences>¡áAX unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to AX unit.¡á2. Faulty AX unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to AX unit.¡á2. If no faults are found the AX unit is faulty.
1230	9430	2015	I/O unit DX26 status fault	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1231	9431	2015	I/O unit DX27 status fault	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from AX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an AX I/O unit is interrupted, all input and output signals related to the lost AX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty AX I/O unit addressing.¡á3. Faulty power supply to I/O unit.¡á4. Faulty AX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to AX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check AX I/O unit device address.¡á4. If no faults are found the AX I/O unit is faulty.
1232	9432	2015	I/O unit DX28 status fault	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1233	9433	2015	I/O unit DX29 status fault	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1234	9434	2015	I/O unit DX2A status fault	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1235	9435	2015	I/O unit DX2B status fault	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1236	9436	2015	I/O unit DX2C status fault	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1237	9437	2015	I/O unit DX2D status fault	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1238	9438	2011	I/O unit AX84 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from AX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an AX I/O unit is interrupted, all input and output signals related to the lost AX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty AX I/O unit addressing.¡á3. Faulty power supply to AX I/O unit.¡á4. Faulty AX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to AX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check AX I/O unit device address.¡á4. If no faults are found the AX I/O unit is faulty.
1239	9439	2011	I/O unit AX85 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from AX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an AX I/O unit is interrupted, all input and output signals related to the lost AX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty AX I/O unit addressing.¡á3. Faulty power supply to AX I/O unit.¡á4. Faulty AX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to AX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check AX I/O unit device address.¡á4. If no faults are found the AX I/O unit is faulty.
1240	9440	2011	I/O unit DX86 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1241	9441	2011	I/O unit DX87 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1242	9442	2011	I/O unit DX88 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1243	9443	2011	I/O unit DX89 communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1244	9444	2011	I/O unit DX8A communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1245	9445	2011	I/O unit DX8B communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1246	9446	2011	I/O unit DX8C communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
1247	9447	2011	I/O unit DX8D communication fault 	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from DX unit to the CCU.¡á¡á¡á<Consequences>¡áIf the communication between the CCU and an DX I/O unit is interrupted, all input and output signals related to the lost DX I/O unit are set to zero. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state.	<Causes>¡á1. Faulty MVB communication.¡á2. Faulty DX I/O unit addressing.¡á3. Faulty power supply to DX I/O unit.¡á4. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. Check MVB cables and connections.¡á3. Check DX I/O unit device address.¡á4. If no faults are found the DX I/O unit is faulty.
